symptom,treatment,bodypart,diagnosis,others
headache,paracetamol,head,migraine,stress-related
cough,cough syrup,throat,bronchitis,viral infection
chest pain,aspirin,chest,angina,smoking history
nausea,antiemetic,stomach,food poisoning,dehydration
itching,antihistamine cream,arms,eczema,allergic reaction
swelling,cold compress,ankle,sprain,sports injury
redness,antibiotic ointment,eye,conjunctivitis,bacterial
shortness of breath,inhaler,lungs,asthma,dust exposure
dizziness,hydration therapy,inner ear,vertigo,motion sickness
joint pain,ibuprofen,knees,arthritis,aging
sore throat,warm salt gargle,throat,tonsillitis,viral
burning urination,antibiotics,bladder,UTI,bacterial
rash,calamine lotion,back,chickenpox,childhood disease
hair loss,minoxidil,scalp,alopecia,stress
cracked lips,lip balm,lips,dehydration,sun exposure
fatigue,multivitamins,whole body,anemia,iron deficiency
blurred vision,corrective lenses,eyes,myopia,hereditary
sneezing,antihistamines,nose,allergic rhinitis,pollen
vomiting,ORS,stomach,gastroenteritis,contaminated food
yellow skin,antiviral drugs,skin,jaundice,hepatitis
high fever,paracetamol,whole body,malaria,mosquito bite
stiff neck,antibiotics,neck,meningitis,bacterial
weight loss,insulin,pancreas,diabetes mellitus,family history
frequent urination,metformin,bladder,diabetes,high sugar diet
chest tightness,bronchodilators,chest,COPD,smoking
swelling gums,mouthwash,gums,gingivitis,poor hygiene
toothache,dental filling,teeth,cavity,sugar consumption
pale skin,iron supplements,skin,anemia,malnutrition
cracked heels,moisturizer,feet,dryness,winter season
tremors,levodopa,hands,Parkinson’s disease,aging
memory loss,cognitive therapy,brain,Alzheimer’s,old age
ear pain,antibiotic drops,ear,ear infection,swimming
nosebleed,nasal spray,nose,sinusitis,dry air
yellow nails,antifungal cream,nails,fungal infection,damp environment
cold hands,circulation therapy,hands,poor circulation,anemia
ankle pain,physiotherapy,ankle,ligament injury,sports
leg cramps,magnesium tablets,legs,deficiency,dehydration
chest heaviness,nitroglycerin,chest,heart attack,obesity
skin peeling,moisturizer,fingers,dermatitis,chemical exposure
night sweats,antibiotics,whole body,tuberculosis,bacterial
numbness,physiotherapy,arms,nerve compression,desk job
swollen eyelids,antihistamines,eyelids,allergy,dust
cracked voice,throat spray,throat,laryngitis,overuse
back pain,hot pack,back,slipped disc,heavy lifting
dark circles,under-eye cream,eyes,fatigue,lack of sleep
shivering,antibiotics,whole body,pneumonia,cold weather
swollen joints,steroids,knees,rheumatoid arthritis,autoimmune
fainting,glucose,brain,hypoglycemia,skipped meals
tooth sensitivity,desensitizing paste,teeth,enamel erosion,acidic food
cracked nails,keratin supplement,nails,brittle nail syndrome,vitamin deficiency
rash,antihistamine cream,arms,allergic reaction,itching
redness,cooling gel,chest,heat rash,sweating
cough,cough syrup,throat,bronchitis,wheezing
congestion,nasal spray,nose,sinusitis,headache
stiffness,physiotherapy,neck,cervical spondylosis,posture issue
swelling,ice pack,ankle,sprain,twisted ligament
cramps,electrolyte solution,calves,dehydration,fatigue
bloating,probiotics,stomach,indigestion,gas
tingling,vitamin B12 supplements,fingers,neuropathy,numbness
dizziness,hydration therapy,head,vertigo,imbalance
fever,paracetamol,whole body,viral infection,chills
chills,warm fluids,whole body,flu,sore throat
chest pain,aspirin,chest,angina,tightness
palpitations,beta blockers,heart,arrhythmia,irregular heartbeat
dry skin,moisturizer,legs,eczema,itching
cracking,petroleum jelly,lips,cheilitis,dryness
hair loss,minoxidil,scalp,alopecia,thinning
dandruff,anti-dandruff shampoo,scalp,seborrheic dermatitis,flaking
blurred vision,corrective lenses,eyes,myopia,strain
watering eyes,lubricating drops,eyes,conjunctivitis,redness
stiffness,heat therapy,lower back,lumbar strain,poor posture
nausea,antiemetic tablets,stomach,gastritis,vomiting
breathlessness,inhaler,lungs,asthma,wheezing
yellowing,antiviral medication,eyes/skin,jaundice,fatigue
sore throat,salt water gargle,throat,tonsillitis,hoarseness
ulcer,antacid syrup,mouth,mouth ulcer,burning
bleeding gums,medicated mouthwash,gums,gingivitis,swelling
itching,antihistamine tablets,back,hives,rash
joint pain,NSAIDs,knees,arthritis,stiffness
numbness,nerve stimulation,arms,carpal tunnel,tingling
cracked heels,foot cream,feet,fissures,dryness
indigestion,digestive enzyme pills,stomach,acidity,bloating
vomiting,ORS solution,stomach,food poisoning,diarrhea
sneezing,antihistamine tablets,nose,allergy,congestion
headache,pain reliever,head,migraine,nausea
back pain,posture correction belt,spine,slipped disc,stiffness
weight loss,nutritional supplements,body,hyperthyroidism,anxiety
trembling,propranolol,hands,essential tremor,nervousness
acne,benzoyl peroxide,chin,acne vulgaris,redness
dark circles,under-eye cream,eyes,fatigue,stress
brittle nails,biotin supplements,nails,vitamin deficiency,weakness
ringing,ear drops,ears,tinnitus,buzzing
frequent urination,insulin therapy,bladder,diabetes mellitus,thirst
swelling,diuretics,feet,edema,puffiness
yellow nails,antifungal tablets,nails,onychomycosis,brittleness
loss of smell,steam inhalation,nose,sinus infection,headache
night sweats,antibiotics,whole body,tuberculosis,fatigue
skin patches,steroid cream,arms,psoriasis,scaling
sore muscles,massage therapy,shoulders,muscle strain,stiffness
redness,cooling gel,nose,rosacea,dermatologist visit
itching,antihistamine cream,arms,allergic rash,patch test
swelling,anti-inflammatory tablets,ankle,sprain,physiotherapy
dryness,moisturizing lotion,hands,eczema,cotton gloves
cracks,petroleum jelly,lips,cheilitis,avoid spicy food
burning,soothing ointment,chest,acid reflux rash,dietary change
numbness,vitamin B supplements,feet,neuropathy,neurologist consult
tingling,acupuncture,fingers,nerve compression,wrist brace
stiffness,hot compress,knee,arthritis,gentle yoga
soreness,massage therapy,back,muscle strain,posture correction
scaling,medicated shampoo,scalp,psoriasis,stress management
discharge,antibiotic drops,ear,ear infection,ENT visit
blurred vision,corrective lenses,eyes,refractive error,eye test
watery eyes,antihistamine drops,eyes,seasonal allergy,air purifier
congestion,nasal spray,nose,sinusitis,steam inhalation
coughing,cough syrup,throat,bronchitis,warm fluids
wheezing,inhaler,chest,asthma,avoid triggers
breathlessness,oxygen therapy,lungs,COPD,spirometry
palpitations,beta blockers,chest,arrhythmia,ECG
fatigue,iron supplements,whole body,anemia,dietary iron intake
fever,paracetamol,whole body,viral infection,hydration
chills,warm blanket,whole body,flu,rest
night sweats,hormone therapy,whole body,hyperthyroidism,thyroid test
headache,painkillers,head,migraine,avoid caffeine
dizziness,vestibular exercises,ear,vertigo,balance training
nausea,antiemetic tablets,stomach,food poisoning,IV fluids
vomiting,oral rehydration,stomach,gastritis,bland diet
constipation,laxatives,intestine,IBS,fiber intake
diarrhea,probiotics,intestine,gastroenteritis,avoid oily food
bloating,digestive enzymes,abdomen,indigestion,small meals
cramps,hot water bottle,abdomen,menstrual pain,relaxation
irregular periods,hormone therapy,reproductive,PCOS,gynecologist consult
heavy bleeding,iron tablets,uterus,menorrhagia,ultrasound
infertility,IVF treatment,reproductive,hormonal imbalance,fertility clinic
weak bones,calcium supplements,bones,osteoporosis,DEXA scan
joint pain,glucosamine supplements,joints,rheumatoid arthritis,physiotherapy
stiffness (neck),cervical collar,neck,cervical spondylosis,physiotherapy
hearing loss,hearing aid,ears,presbycusis,audiometry
ringing in ears,sound therapy,ears,tinnitus,ENT consult
vision loss,laser surgery,eyes,cataract,eye specialist visit
yellowing of eyes,antiviral meds,eyes,hepatitis,liver test
swelling of feet,diuretics,feet,kidney disease,blood test
skin rash,steroid cream,body,lupus,autoimmune test
weight loss,nutritional supplements,body,hyperthyroidism,diet plan
weight gain,lifestyle change,body,hypothyroidism,endocrinologist visit
mood swings,counseling,brain,depression,therapy sessions
memory loss,cognitive training,brain,dementia,neurologist consult
seizures,antiepileptic drugs,brain,epilepsy,EEG
tremors,dopamine therapy,hands,Parkinson’s disease,neurologist consult
slurred speech,speech therapy,mouth,stroke,brain scan
Itching,Antihistamine cream,Arms,Allergic reaction,Pollen exposure
Redness,Cooling gel,Legs,Sunburn,Heat exposure
Tingling sensation,Vitamin B supplement,Fingers,Nerve irritation,Keyboard overuse
Hair loss,Minoxidil,Scalp,Alopecia,Family history
Blurred vision,Corrective glasses,Eyes,Myopia,Screen strain
Rash,Hydrocortisone ointment,Back,Contact dermatitis,New detergent
Dry skin,Moisturizing lotion,Elbows,Eczema,Winter season
Stiffness,Physiotherapy,Neck,Cervical spondylosis,Desk posture
Cramping,Oral rehydration salts,Legs,Electrolyte imbalance,Excess exercise
Swelling,Anti-inflammatory tablet,Ankles,Sprain,Sports injury
Yellowing,Antibiotic course,Nails,Fungal infection,Swimming pool exposure
Frequent urination,Insulin therapy,Bladder,Diabetes,High sugar intake
Coughing,Cough syrup,Lungs,Bronchitis,Cold weather
Numbness,Nerve pain medication,Toes,Neuropathy,Diabetes history
Wheezing,Inhaler,Chest,Asthma,Dust exposure
Difficulty swallowing,Proton pump inhibitor,Throat,Acid reflux,Late-night eating
Fever,Paracetamol,Whole body,Viral infection,Flu season
Dizziness,Hydration therapy,Head,Vertigo,Sudden movement
Fatigue,Iron supplements,Whole body,Anemia,Poor diet
Tremors,Beta blockers,Hands,Parkinson’s disease,Aging
Nausea,Antiemetic tablet,Stomach,Food poisoning,Street food
Difficulty breathing,Oxygen support,Lungs,Pneumonia,Cold infection
Yellow eyes,Liver detox medicine,Eyes,Jaundice,Alcohol consumption
Vomiting,IV fluids,Stomach,Gastroenteritis,Contaminated water
Rapid heartbeat,Beta blockers,Heart,Tachycardia,Stress
Excessive sweating,Antiperspirant,Underarms,Hyperhidrosis,Hot climate
Joint pain,Pain relievers,Knees,Osteoarthritis,Old age
Muscle weakness,Physiotherapy,Arms,Muscular dystrophy,Genetic disorder
Back pain,Heat therapy,Back,Muscle strain,Heavy lifting
Pale skin,Iron supplements,Face,Iron deficiency,Malnutrition
Shortness of breath,Nebulizer,Lungs,COPD,Smoking
Skin peeling,Moisturizer,Feet,Athlete’s foot,Public showers
Loss of appetite,Appetite stimulant,Stomach,Gastritis,Stress
Chills,Antiviral medication,Whole body,Influenza,Seasonal change
Nosebleed,Nasal spray,Nose,Hypertension,Hot dry weather
Swollen glands,Antibiotics,Neck,Tonsillitis,Bacterial infection
Persistent cough,Steroid inhaler,Lungs,Tuberculosis,Long exposure
